Возражение,Когда отправлять,Сообщение
"Дорого / не тянем финансово","Клиент не отвечает после озвучивания стоимости или прямо сказал, что дорого","Привет! Хотела уточнить — если вопрос в бюджете, у нас есть разные варианты. Самый базовый формат стоит 5 999 рублей, а на менторство есть рассрочка и помесячная оплата — без долгосрочных контрактов. Можно начать с малого и посмотреть, как пойдёт. Даже минимальное сопровождение — это уже сильно лучше, чем разбираться вслепую. Если хотите, подберём формат под вашу ситуацию 🙂"
"Поступлю сам / не вижу смысла платить","Клиент уверен, что справится без помощи, или не понимает ценность сопровождения","Привет! Полностью уважаю это решение — поступить самостоятельно точно возможно. Единственное, что хотела сказать: разница обычно не в самом поступлении, а в финансировании. Наши студенты в среднем получают грант $300K, потому что мы знаем, куда и как подавать на стипендии. Самостоятельно поступить реально, но разница в гранте часто окупает стоимость сопровождения в десятки раз. Просто чтобы у вас была полная картина 🙂"
"Поступление не скоро / через 2-3 года","Клиент говорит, что ещё рано начинать или поступление далеко","Привет! Понимаю, кажется, что ещё есть время. Но на самом деле самые сильные результаты как раз у тех, кто начинает заранее — можно спокойно, без спешки собрать профиль, подготовить тесты, продумать стратегию. У нас была студентка Саша — она начала за полтора года и в итоге получила офферы от UPenn и Cornell. Чем раньше начать, тем больше выбор и тем выше шансы на хорошее финансирование. Если хотите, можем просто наметить план — без обязательств 🙂"
"Сейчас не до этого / нет времени","Клиент занят экзаменами, школой, работой — говорит, что разберётся потом","Привет! Полностью понимаю, что сейчас много всего. Просто хотела сказать — подготовка к поступлению не требует бросать всё и погружаться на 100%. Обычно это 1-2 часа в неделю с ментором, и мы подстраиваемся под ваш график. А если отложить на потом, можно упустить ближайшие дедлайны, и подготовка потом будет уже в спешке. Если хотите, можем начать в комфортном темпе 🙂"
"Не уверен, что получится / слабый профиль","Клиент сомневается в своих шансах, говорит, что у него не хватает достижений","Привет! Хотела сказать — сомнения на этом этапе абсолютно нормальны. Но по нашему опыту, результат зависит не от идеального профиля, а от правильной стратегии. У нас 98% студентов поступают, и среди них очень разные — кто-то с олимпиадами, а кто-то вообще без них. Главное — правильно подать то, что есть, и выбрать вузы, где ваш профиль будет сильным. Если хотите, можем просто разобрать ваш случай и честно сказать, на что можно рассчитывать 🙂"
"Не определился с направлением","Клиент не знает, куда хочет поступать, какую специальность выбрать","Привет! Это, кстати, очень частая ситуация — многие приходят к нам именно на этом этапе. Как раз одна из вещей, с которой мы помогаем — разобраться, что вам подходит, исходя из ваших интересов и сильных сторон. Не обязательно знать всё заранее, чтобы начать. Если хотите, можем просто поговорить и вместе посмотреть, какие направления и вузы могут быть интересны 🙂"
"Нужно согласовать с родителями","Клиент упоминал, что решение не только за ним, или нужно обсудить с семьёй","Привет! Полностью понимаю — это семейное решение. У нас есть специальный документ для родителей, где простым языком объясняется, как устроен процесс, какие гарантии, как работает оплата и что вообще даёт обучение за рубежом. Многие родители после него гораздо спокойнее относятся к идее, потому что видят конкретику. Хотите, отправлю? 🙂"
"Родители против учёбы за рубежом","Родители не отпускают, боятся или не доверяют идее обучения за рубежом","Привет! Понимаю, что родители переживают — это нормально, и мы с этим часто сталкиваемся. Обычно главные страхи — это безопасность, расстояния и деньги. У нас есть документ для родителей, который отвечает именно на эти вопросы: как устроен процесс, какие гарантии в договоре, как работает помесячная оплата. Плюс мы сопровождаем до самого зачисления, включая визы и жильё. Хотите, отправлю материал — может, это поможет в разговоре с семьёй? 🙂"
"Поступлю сам, а к вам приду позже","Клиент хочет попробовать сам и вернуться, если не получится","Привет! Конечно, это ваше решение. Просто хотела отметить один момент — большая часть работы над заявкой происходит до подачи: стратегия, выбор вузов, эссе, рекомендации. Если попробовать самостоятельно и потом обратиться, времени на подготовку остаётся значительно меньше, а дедлайны не сдвигаются. Многие ребята говорят потом, что жалеют, что не начали сразу. Не настаиваю, просто чтобы у вас была полная картина 🙂"
"Просто молчит / ушёл думать","Клиент перестал отвечать без объяснения причины","Привет! Понимаю, что решение серьёзное и хочется всё обдумать — это совершенно нормально. Просто хотела сказать, что мы на связи, и если появятся вопросы — пишите в любое время. А если вы решили, что сейчас не время — тоже ничего страшного, просто дайте знать, чтобы я не беспокоила вас лишний раз 🙂"
